time_s,event,details
3.10026,DATA_DROP_REPLAY,rx=4,sender=0,nonce=3000000000
3.10026,DATA_DROP_REPLAY,rx=7,sender=0,nonce=3000000000
3.10026,DATA_DROP_REPLAY,rx=9,sender=0,nonce=3000000000
3.10026,DATA_DROP_REPLAY,rx=11,sender=0,nonce=3000000000
3.10026,DATA_DROP_REPLAY,rx=6,sender=0,nonce=3000000000
3.10061,DATA_DROP_SIG,rx=1,sender=0,nonce=3100000000
3.10061,DATA_DROP_SIG,rx=2,sender=0,nonce=3100000000
3.10061,DATA_DROP_SIG,rx=5,sender=0,nonce=3100000000
3.10061,DATA_DROP_SIG,rx=8,sender=0,nonce=3100000000
3.10061,DATA_DROP_SIG,rx=3,sender=0,nonce=3100000000
3.10061,DATA_DROP_SIG,rx=10,sender=0,nonce=3100000000
3.10061,DATA_DROP_SIG,rx=4,sender=0,nonce=3100000000
3.10061,DATA_DROP_SIG,rx=7,sender=0,nonce=3100000000
3.10061,DATA_DROP_SIG,rx=9,sender=0,nonce=3100000000
3.10061,DATA_DROP_SIG,rx=11,sender=0,nonce=3100000000
3.10061,DATA_DROP_SIG,rx=6,sender=0,nonce=3100000000
3.2,HO_START,veh=8,from=1,to=0,trust=0.810000
3.2,BLOCK_COMMIT_ITEM,accused=5,delta=0.010000,trust=0.780000
3.2,BLOCK_COMMIT_ITEM,accused=5,delta=-0.050000,trust=0.730000
3.2,BLOCK_COMMIT_ITEM,accused=8,delta=-0.050000,trust=0.760000
3.2,BLOCK_COMMIT_ITEM,accused=2,delta=-0.050000,trust=0.720000
3.2,BLOCK_COMMIT_ITEM,accused=9,delta=0.010000,trust=0.810000
3.2,BLOCK_COMMIT_ITEM,accused=2,delta=-0.050000,trust=0.670000
3.2,BLOCK_COMMIT_ITEM,accused=5,delta=-0.050000,trust=0.680000
3.2,BLOCK_COMMIT_DONE,block=4,items=7,lat=0.050000
3.20026,DATA_DROP_SIG,rx=1,sender=0,nonce=3200000000
3.20026,DATA_DROP_SIG,rx=2,sender=0,nonce=3200000000
3.20026,DATA_DROP_SIG,rx=5,sender=0,nonce=3200000000
3.20026,DATA_DROP_SIG,rx=8,sender=0,nonce=3200000000
3.20026,DATA_DROP_SIG,rx=3,sender=0,nonce=3200000000
3.20026,DATA_DROP_SIG,rx=10,sender=0,nonce=3200000000
3.20026,DATA_DROP_SIG,rx=4,sender=0,nonce=3200000000
3.20026,DATA_DROP_SIG,rx=7,sender=0,nonce=3200000000
3.20026,DATA_DROP_SIG,rx=9,sender=0,nonce=3200000000
3.20026,DATA_DROP_SIG,rx=11,sender=0,nonce=3200000000
3.20026,DATA_DROP_SIG,rx=6,sender=0,nonce=3200000000
3.22,HO_DONE,veh=8,rsu=0,fast=1,delay=0.020000
3.4,HO_START,veh=8,from=0,to=1,trust=0.760000
3.40026,DATA_DROP_REPLAY,rx=1,sender=0,nonce=3300000000
3.40026,DATA_DROP_REPLAY,rx=2,sender=0,nonce=3300000000
3.40026,DATA_DROP_REPLAY,rx=5,sender=0,nonce=3300000000
3.40026,DATA_DROP_REPLAY,rx=8,sender=0,nonce=3300000000
3.40026,DATA_DROP_REPLAY,rx=3,sender=0,nonce=3300000000
3.40026,DATA_DROP_REPLAY,rx=10,sender=0,nonce=3300000000
3.40026,DATA_DROP_REPLAY,rx=4,sender=0,nonce=3300000000
3.40026,DATA_DROP_REPLAY,rx=7,sender=0,nonce=3300000000
3.40026,DATA_DROP_REPLAY,rx=9,sender=0,nonce=3300000000
3.40026,DATA_DROP_REPLAY,rx=11,sender=0,nonce=3300000000
3.40026,DATA_DROP_REPLAY,rx=6,sender=0,nonce=3300000000
3.42,HO_DONE,veh=8,rsu=1,fast=1,delay=0.020000
3.70026,DATA_DROP_REPLAY,rx=2,sender=0,nonce=3600000000
3.70026,DATA_DROP_REPLAY,rx=1,sender=0,nonce=3600000000
3.70026,DATA_DROP_REPLAY,rx=8,sender=0,nonce=3600000000
3.70026,DATA_DROP_REPLAY,rx=5,sender=0,nonce=3600000000
3.70026,DATA_DROP_REPLAY,rx=3,sender=0,nonce=3600000000
3.70026,DATA_DROP_REPLAY,rx=10,sender=0,nonce=3600000000
3.70026,DATA_DROP_REPLAY,rx=4,sender=0,nonce=3600000000
3.70026,DATA_DROP_REPLAY,rx=7,sender=0,nonce=3600000000
3.70026,DATA_DROP_REPLAY,rx=9,sender=0,nonce=3600000000
3.70026,DATA_DROP_REPLAY,rx=11,sender=0,nonce=3600000000
3.70026,DATA_DROP_REPLAY,rx=6,sender=0,nonce=3600000000
4,REPORT_SENT,by=0,about=6,delta=-0.050000
4,REPORT_SENT,by=1,about=3,delta=0.010000
4,REPORT_SENT,by=2,about=1,delta=-0.050000
4,REPORT_SENT,by=3,about=0,delta=0.010000
4,REPORT_SENT,by=4,about=0,delta=-0.050000
4,REPORT_SENT,by=5,about=5,delta=-0.050000
4,REPORT_SENT,by=6,about=9,delta=-0.050000
4,REPORT_SENT,by=7,about=7,delta=-0.050000
4,REPORT_SENT,by=8,about=8,delta=-0.050000
4,REPORT_SENT,by=9,about=1,delta=-0.050000
4.00019,REPORT_RX_RSU,rsu=10,by=1,about=3,delta=0.010000
4.00033,REPORT_RX_RSU,rsu=10,by=7,about=7,delta=-0.050000
4.00056,REPORT_RX_RSU,rsu=10,by=4,about=0,delta=-0.050000
4.00073,REPORT_RX_RSU,rsu=10,by=5,about=5,delta=-0.050000
4.00088,REPORT_RX_RSU,rsu=10,by=0,about=6,delta=-0.050000
4.0012,DATA_DROP_REPLAY,rx=2,sender=0,nonce=3900000000
4.00128,REPORT_RX_RSU,rsu=10,by=9,about=1,delta=-0.050000
4.00188,REPORT_RX_RSU,rsu=10,by=8,about=8,delta=-0.050000
4.10026,DATA_DROP_SIG,rx=1,sender=0,nonce=4100000000
4.10026,DATA_DROP_SIG,rx=2,sender=0,nonce=4100000000
4.10026,DATA_DROP_SIG,rx=5,sender=0,nonce=4100000000
4.10026,DATA_DROP_SIG,rx=8,sender=0,nonce=4100000000
4.10026,DATA_DROP_SIG,rx=3,sender=0,nonce=4100000000
4.10026,DATA_DROP_SIG,rx=10,sender=0,nonce=4100000000
4.10026,DATA_DROP_SIG,rx=7,sender=0,nonce=4100000000
4.10026,DATA_DROP_SIG,rx=4,sender=0,nonce=4100000000
4.10026,DATA_DROP_SIG,rx=9,sender=0,nonce=4100000000
4.10026,DATA_DROP_SIG,rx=11,sender=0,nonce=4100000000
4.10026,DATA_DROP_SIG,rx=6,sender=0,nonce=4100000000
4.2,HO_START,veh=1,from=0,to=1,trust=0.760000
4.22,HO_DONE,veh=1,rsu=1,fast=1,delay=0.020000
4.25,BLOCK_COMMIT_ITEM,accused=3,delta=0.010000,trust=0.820000
4.25,BLOCK_COMMIT_ITEM,accused=7,delta=-0.050000,trust=0.760000
4.25,BLOCK_COMMIT_ITEM,accused=0,delta=-0.050000,trust=0.770000
4.25,BLOCK_COMMIT_ITEM,accused=5,delta=-0.050000,trust=0.630000
4.25,BLOCK_COMMIT_ITEM,accused=6,delta=-0.050000,trust=0.750000
4.25,BLOCK_COMMIT_ITEM,accused=1,delta=-0.050000,trust=0.710000
4.25,BLOCK_COMMIT_ITEM,accused=8,delta=-0.050000,trust=0.710000
4.25,BLOCK_COMMIT_DONE,block=5,items=7,lat=0.050000
4.30026,DATA_DROP_REPLAY,rx=1,sender=0,nonce=4200000000
4.30026,DATA_DROP_REPLAY,rx=5,sender=0,nonce=4200000000
4.30026,DATA_DROP_REPLAY,rx=2,sender=0,nonce=4200000000
4.30026,DATA_DROP_REPLAY,rx=8,sender=0,nonce=4200000000
4.30026,DATA_DROP_REPLAY,rx=3,sender=0,nonce=4200000000
4.30026,DATA_DROP_REPLAY,rx=10,sender=0,nonce=4200000000
4.30026,DATA_DROP_REPLAY,rx=7,sender=0,nonce=4200000000
4.30026,DATA_DROP_REPLAY,rx=4,sender=0,nonce=4200000000
4.30026,DATA_DROP_REPLAY,rx=9,sender=0,nonce=4200000000
4.30026,DATA_DROP_REPLAY,rx=11,sender=0,nonce=4200000000
4.30026,DATA_DROP_REPLAY,rx=6,sender=0,nonce=4200000000
4.4,HO_START,veh=7,from=0,to=1,trust=0.760000
4.42,HO_DONE,veh=7,rsu=1,fast=1,delay=0.020000
4.60026,DATA_DROP_REPLAY,rx=1,sender=0,nonce=4500000000
4.60026,DATA_DROP_REPLAY,rx=5,sender=0,nonce=4500000000
4.60026,DATA_DROP_REPLAY,rx=2,sender=0,nonce=4500000000
4.60026,DATA_DROP_REPLAY,rx=8,sender=0,nonce=4500000000
4.60026,DATA_DROP_REPLAY,rx=3,sender=0,nonce=4500000000
4.60026,DATA_DROP_REPLAY,rx=10,sender=0,nonce=4500000000
4.60026,DATA_DROP_REPLAY,rx=7,sender=0,nonce=4500000000
4.60026,DATA_DROP_REPLAY,rx=4,sender=0,nonce=4500000000
4.60026,DATA_DROP_REPLAY,rx=9,sender=0,nonce=4500000000
4.60026,DATA_DROP_REPLAY,rx=11,sender=0,nonce=4500000000
4.60026,DATA_DROP_REPLAY,rx=6,sender=0,nonce=4500000000
4.70026,DATA_DROP_SIG,rx=1,sender=0,nonce=4700000000
4.70026,DATA_DROP_SIG,rx=5,sender=0,nonce=4700000000
4.70026,DATA_DROP_SIG,rx=2,sender=0,nonce=4700000000
4.70026,DATA_DROP_SIG,rx=8,sender=0,nonce=4700000000
4.70026,DATA_DROP_SIG,rx=3,sender=0,nonce=4700000000
4.70026,DATA_DROP_SIG,rx=10,sender=0,nonce=4700000000
4.70026,DATA_DROP_SIG,rx=7,sender=0,nonce=4700000000
4.70026,DATA_DROP_SIG,rx=11,sender=0,nonce=4700000000
4.70026,DATA_DROP_SIG,rx=4,sender=0,nonce=4700000000
4.70026,DATA_DROP_SIG,rx=9,sender=0,nonce=4700000000
4.70026,DATA_DROP_SIG,rx=6,sender=0,nonce=4700000000
4.8,HO_START,veh=8,from=1,to=0,trust=0.710000
4.82,HO_DONE,veh=8,rsu=0,fast=1,delay=0.020000
4.90026,DATA_DROP_REPLAY,rx=1,sender=0,nonce=4800000000
4.90026,DATA_DROP_REPLAY,rx=5,sender=0,nonce=4800000000
4.90026,DATA_DROP_REPLAY,rx=2,sender=0,nonce=4800000000
4.90026,DATA_DROP_REPLAY,rx=8,sender=0,nonce=4800000000
4.90026,DATA_DROP_REPLAY,rx=3,sender=0,nonce=4800000000
4.90026,DATA_DROP_REPLAY,rx=10,sender=0,nonce=4800000000
4.90026,DATA_DROP_REPLAY,rx=7,sender=0,nonce=4800000000
4.90026,DATA_DROP_REPLAY,rx=11,sender=0,nonce=4800000000
4.90026,DATA_DROP_REPLAY,rx=9,sender=0,nonce=4800000000
4.90026,DATA_DROP_REPLAY,rx=4,sender=0,nonce=4800000000
4.90026,DATA_DROP_REPLAY,rx=6,sender=0,nonce=4800000000
5,REPORT_SENT,by=0,about=2,delta=-0.050000
5,REPORT_SENT,by=1,about=5,delta=-0.050000
5,REPORT_SENT,by=2,about=5,delta=-0.050000
5,REPORT_SENT,by=3,about=9,delta=0.010000
5,REPORT_SENT,by=4,about=8,delta=-0.050000
5,REPORT_SENT,by=5,about=1,delta=0.010000
5,REPORT_SENT,by=6,about=6,delta=-0.050000
5,REPORT_SENT,by=7,about=3,delta=0.010000
5,REPORT_SENT,by=8,about=6,delta=-0.050000
5,REPORT_SENT,by=9,about=2,delta=0.010000
5.00036,REPORT_RX_RSU,rsu=10,by=0,about=2,delta=-0.050000
5.0005,REPORT_RX_RSU,rsu=10,by=1,about=5,delta=-0.050000
5.00101,REPORT_RX_RSU,rsu=10,by=8,about=6,delta=-0.050000
5.00115,REPORT_RX_RSU,rsu=10,by=9,about=2,delta=0.010000
5.00138,REPORT_RX_RSU,rsu=10,by=5,about=1,delta=0.010000
5.00175,REPORT_RX_RSU,rsu=10,by=7,about=3,delta=0.010000
5.00188,REPORT_RX_RSU,rsu=10,by=4,about=8,delta=-0.050000
5.20026,DATA_DROP_REPLAY,rx=1,sender=0,nonce=5100000000
5.20026,DATA_DROP_REPLAY,rx=5,sender=0,nonce=5100000000
5.20026,DATA_DROP_REPLAY,rx=2,sender=0,nonce=5100000000
5.20026,DATA_DROP_REPLAY,rx=8,sender=0,nonce=5100000000
5.20026,DATA_DROP_REPLAY,rx=3,sender=0,nonce=5100000000
5.20026,DATA_DROP_REPLAY,rx=10,sender=0,nonce=5100000000
5.20026,DATA_DROP_REPLAY,rx=11,sender=0,nonce=5100000000
5.20026,DATA_DROP_REPLAY,rx=9,sender=0,nonce=5100000000
5.20026,DATA_DROP_REPLAY,rx=7,sender=0,nonce=5100000000
5.20026,DATA_DROP_REPLAY,rx=4,sender=0,nonce=5100000000
5.20026,DATA_DROP_REPLAY,rx=6,sender=0,nonce=5100000000
5.3,BLOCK_COMMIT_ITEM,accused=2,delta=-0.050000,trust=0.620000
5.3,BLOCK_COMMIT_ITEM,accused=5,delta=-0.050000,trust=0.580000
5.3,BLOCK_COMMIT_ITEM,accused=6,delta=-0.050000,trust=0.700000
5.3,BLOCK_COMMIT_ITEM,accused=2,delta=0.010000,trust=0.630000
5.3,BLOCK_COMMIT_ITEM,accused=1,delta=0.010000,trust=0.720000
5.3,BLOCK_COMMIT_ITEM,accused=3,delta=0.010000,trust=0.830000
5.3,BLOCK_COMMIT_ITEM,accused=8,delta=-0.050000,trust=0.660000
5.3,BLOCK_COMMIT_DONE,block=6,items=7,lat=0.050000
5.4,HO_START,veh=1,from=1,to=0,trust=0.720000
5.40026,DATA_DROP_SIG,rx=1,sender=0,nonce=5400000000
5.40026,DATA_DROP_SIG,rx=5,sender=0,nonce=5400000000
5.40026,DATA_DROP_SIG,rx=2,sender=0,nonce=5400000000
5.40026,DATA_DROP_SIG,rx=8,sender=0,nonce=5400000000
5.40026,DATA_DROP_SIG,rx=3,sender=0,nonce=5400000000
5.40026,DATA_DROP_SIG,rx=10,sender=0,nonce=5400000000
5.40026,DATA_DROP_SIG,rx=11,sender=0,nonce=5400000000
5.40026,DATA_DROP_SIG,rx=9,sender=0,nonce=5400000000
5.40026,DATA_DROP_SIG,rx=7,sender=0,nonce=5400000000
5.40026,DATA_DROP_SIG,rx=4,sender=0,nonce=5400000000
