time_s,event,details
2.40066,DATA_DROP_SIG,rx=11,sender=0,nonce=2400000000
2.40066,DATA_DROP_SIG,rx=1,sender=0,nonce=2400000000
2.40066,DATA_DROP_SIG,rx=5,sender=0,nonce=2400000000
2.40066,DATA_DROP_SIG,rx=2,sender=0,nonce=2400000000
2.40066,DATA_DROP_SIG,rx=3,sender=0,nonce=2400000000
2.40066,DATA_DROP_SIG,rx=8,sender=0,nonce=2400000000
2.40066,DATA_DROP_SIG,rx=10,sender=0,nonce=2400000000
2.40066,DATA_DROP_SIG,rx=4,sender=0,nonce=2400000000
2.40066,DATA_DROP_SIG,rx=7,sender=0,nonce=2400000000
2.40066,DATA_DROP_SIG,rx=9,sender=0,nonce=2400000000
2.40066,DATA_DROP_SIG,rx=6,sender=0,nonce=2400000000
2.50066,DATA_DROP_SIG,rx=11,sender=0,nonce=2500000000
2.50066,DATA_DROP_SIG,rx=1,sender=0,nonce=2500000000
2.50066,DATA_DROP_SIG,rx=5,sender=0,nonce=2500000000
2.50066,DATA_DROP_SIG,rx=2,sender=0,nonce=2500000000
2.50066,DATA_DROP_SIG,rx=3,sender=0,nonce=2500000000
2.50066,DATA_DROP_SIG,rx=8,sender=0,nonce=2500000000
2.50066,DATA_DROP_SIG,rx=10,sender=0,nonce=2500000000
2.50066,DATA_DROP_SIG,rx=4,sender=0,nonce=2500000000
2.50066,DATA_DROP_SIG,rx=7,sender=0,nonce=2500000000
2.50066,DATA_DROP_SIG,rx=9,sender=0,nonce=2500000000
2.50066,DATA_DROP_SIG,rx=6,sender=0,nonce=2500000000
2.6,REPLAY_SENT,nonce=2500000000
2.60066,DATA_DROP_SIG,rx=11,sender=0,nonce=2500000000
2.60066,DATA_DROP_SIG,rx=1,sender=0,nonce=2500000000
2.60066,DATA_DROP_SIG,rx=5,sender=0,nonce=2500000000
2.60066,DATA_DROP_SIG,rx=2,sender=0,nonce=2500000000
2.60066,DATA_DROP_SIG,rx=3,sender=0,nonce=2500000000
2.60066,DATA_DROP_SIG,rx=8,sender=0,nonce=2500000000
2.60066,DATA_DROP_SIG,rx=10,sender=0,nonce=2500000000
2.60066,DATA_DROP_SIG,rx=4,sender=0,nonce=2500000000
2.60066,DATA_DROP_SIG,rx=7,sender=0,nonce=2500000000
2.60066,DATA_DROP_SIG,rx=9,sender=0,nonce=2500000000
2.60066,DATA_DROP_SIG,rx=6,sender=0,nonce=2500000000
2.60101,DATA_DROP_SIG,rx=11,sender=0,nonce=2600000000
2.60101,DATA_DROP_SIG,rx=1,sender=0,nonce=2600000000
2.60101,DATA_DROP_SIG,rx=5,sender=0,nonce=2600000000
2.60101,DATA_DROP_SIG,rx=2,sender=0,nonce=2600000000
2.60101,DATA_DROP_SIG,rx=3,sender=0,nonce=2600000000
2.60101,DATA_DROP_SIG,rx=8,sender=0,nonce=2600000000
2.60101,DATA_DROP_SIG,rx=10,sender=0,nonce=2600000000
2.60101,DATA_DROP_SIG,rx=4,sender=0,nonce=2600000000
2.60101,DATA_DROP_SIG,rx=7,sender=0,nonce=2600000000
2.60101,DATA_DROP_SIG,rx=9,sender=0,nonce=2600000000
2.60101,DATA_DROP_SIG,rx=6,sender=0,nonce=2600000000
2.70066,DATA_DROP_SIG,rx=11,sender=0,nonce=2700000000
2.70066,DATA_DROP_SIG,rx=1,sender=0,nonce=2700000000
2.70066,DATA_DROP_SIG,rx=5,sender=0,nonce=2700000000
2.70066,DATA_DROP_SIG,rx=2,sender=0,nonce=2700000000
2.70066,DATA_DROP_SIG,rx=3,sender=0,nonce=2700000000
2.70066,DATA_DROP_SIG,rx=8,sender=0,nonce=2700000000
2.70066,DATA_DROP_SIG,rx=10,sender=0,nonce=2700000000
2.70066,DATA_DROP_SIG,rx=4,sender=0,nonce=2700000000
2.70066,DATA_DROP_SIG,rx=7,sender=0,nonce=2700000000
2.70066,DATA_DROP_SIG,rx=9,sender=0,nonce=2700000000
2.70066,DATA_DROP_SIG,rx=6,sender=0,nonce=2700000000
2.80066,DATA_DROP_SIG,rx=11,sender=0,nonce=2800000000
2.80066,DATA_DROP_SIG,rx=1,sender=0,nonce=2800000000
2.80066,DATA_DROP_SIG,rx=5,sender=0,nonce=2800000000
2.80066,DATA_DROP_SIG,rx=2,sender=0,nonce=2800000000
2.80066,DATA_DROP_SIG,rx=8,sender=0,nonce=2800000000
2.80066,DATA_DROP_SIG,rx=3,sender=0,nonce=2800000000
2.80066,DATA_DROP_SIG,rx=10,sender=0,nonce=2800000000
2.80066,DATA_DROP_SIG,rx=4,sender=0,nonce=2800000000
2.80066,DATA_DROP_SIG,rx=7,sender=0,nonce=2800000000
2.80066,DATA_DROP_SIG,rx=9,sender=0,nonce=2800000000
2.80066,DATA_DROP_SIG,rx=6,sender=0,nonce=2800000000
2.9,REPLAY_SENT,nonce=2800000000
2.90066,DATA_DROP_SIG,rx=11,sender=0,nonce=2800000000
2.90066,DATA_DROP_SIG,rx=1,sender=0,nonce=2800000000
2.90066,DATA_DROP_SIG,rx=5,sender=0,nonce=2800000000
2.90066,DATA_DROP_SIG,rx=2,sender=0,nonce=2800000000
2.90066,DATA_DROP_SIG,rx=8,sender=0,nonce=2800000000
2.90066,DATA_DROP_SIG,rx=3,sender=0,nonce=2800000000
2.90066,DATA_DROP_SIG,rx=10,sender=0,nonce=2800000000
2.90066,DATA_DROP_SIG,rx=4,sender=0,nonce=2800000000
2.90066,DATA_DROP_SIG,rx=7,sender=0,nonce=2800000000
2.90066,DATA_DROP_SIG,rx=9,sender=0,nonce=2800000000
2.90066,DATA_DROP_SIG,rx=6,sender=0,nonce=2800000000
2.90095,DATA_DROP_SIG,rx=11,sender=0,nonce=2900000000
2.90095,DATA_DROP_SIG,rx=1,sender=0,nonce=2900000000
2.90095,DATA_DROP_SIG,rx=5,sender=0,nonce=2900000000
2.90095,DATA_DROP_SIG,rx=2,sender=0,nonce=2900000000
2.90095,DATA_DROP_SIG,rx=8,sender=0,nonce=2900000000
